iter	Passed	Remaining
0	4	4300
1	10	5016
2	14	4871
3	19	4891
4	25	4991
5	29	4936
6	34	4885
7	39	4929
8	44	4883
9	49	4872
10	52	4757
11	57	4774
12	61	4694
13	65	4627
14	70	4617
15	75	4662
16	79	4612
17	84	4608
18	89	4632
19	94	4625
20	98	4571
21	101	4499
22	106	4520
23	111	4523
24	115	4511
25	118	4438
26	123	4456
27	128	4476
28	133	4465
29	137	4454
30	141	4438
31	145	4405
32	150	4402
33	155	4409
34	159	4403
35	163	4389
36	167	4351
37	170	4318
38	173	4273
39	177	4252
40	180	4214
41	182	4173
42	187	4181
43	192	4175
44	195	4148
45	199	4143
46	203	4121
47	207	4110
48	211	4104
49	215	4097
50	218	4062
51	222	4065
52	226	4040
53	229	4017
54	234	4028
55	238	4027
56	242	4018
57	247	4024
58	253	4036
59	256	4025
60	261	4019
61	264	4002
62	267	3980
63	271	3975
64	274	3949
65	278	3943
66	283	3943
67	287	3946
68	292	3943
69	296	3940
70	301	3941
71	305	3938
72	309	3924
73	311	3900
74	315	3889
75	319	3886
76	322	3866
77	327	3868
78	330	3851
79	335	3855
80	339	3851
81	342	3835
82	347	3837
83	352	3843
84	354	3818
85	358	3809
86	362	3808
87	366	3799
88	370	3796
89	374	3781
90	378	3779
91	384	3795
92	389	3796
93	394	3797
94	399	3804
95	402	3794
96	405	3774
97	409	3772
98	412	3754
99	417	3757
100	420	3743
101	424	3738
102	429	3737
103	434	3739
104	438	3734
105	440	3719
106	444	3713
107	450	3718
108	454	3717
109	458	3705
110	462	3707
111	466	3700
112	471	3697
113	473	3680
114	477	3673
115	482	3673
116	484	3657
117	489	3659
118	494	3661
119	500	3667
120	506	3678
121	514	3705
122	518	3698
123	522	3693
124	527	3691
125	532	3691
126	535	3682
127	540	3681
128	545	3686
129	550	3681
130	553	3671
131	557	3664
132	561	3663
133	566	3661
134	570	3657
135	574	3651
136	579	3652
137	582	3637
138	586	3634
139	590	3627
140	594	3623
141	599	3620
142	603	3615
143	606	3605
144	611	3605
145	614	3592
146	617	3583
147	620	3574
148	625	3574
149	630	3571
150	632	3555
151	635	3544
152	639	3537
153	643	3534
154	647	3528
155	650	3518
156	652	3503
157	655	3494
158	659	3488
159	663	3485
160	668	3482
161	672	3479
162	677	3477
163	680	3466
164	682	3452
165	686	3448
166	689	3438
167	691	3425
168	695	3421
169	700	3419
170	704	3416
171	709	3416
172	713	3409
173	715	3395
174	717	3384
175	722	3382
176	726	3378
177	730	3375
178	734	3370
179	739	3368
180	741	3356
181	745	3352
182	750	3349
183	754	3346
184	758	3341
185	762	3336
186	765	3326
187	768	3320
188	774	3321
189	776	3311
190	780	3304
191	783	3298
192	788	3296
193	792	3292
194	795	3285
195	799	3281
196	803	3273
197	807	3270
198	810	3261
199	812	3250
200	815	3242
201	819	3237
202	823	3233
203	827	3228
204	830	3221
205	833	3213
206	838	3211
207	842	3206
208	846	3201
209	849	3197
210	854	3195
211	857	3187
212	861	3184
213	865	3179
214	869	3173
215	872	3166
216	876	3162
217	879	3156
218	883	3152
219	888	3148
220	891	3142
221	895	3139
222	898	3130
223	904	3132
224	908	3129
225	912	3125
226	916	3122
227	921	3119
228	925	3115
229	929	3110
230	931	3100
231	935	3095
232	937	3086
233	941	3081
234	943	3071
235	946	3062
236	952	3066
237	956	3063
238	960	3058
239	965	3056
240	967	3048
241	971	3042
